Date,Carbon,EuroStoxx,BrenOIL,CoalAPI,NatGas,EurSover,EurCorp,SpxIndex,ComExEng,Metals
3/16/2023,0.390263627,0.176345359,0.302237934,0.710006076,1.018220763,0.11435521,0.071063181,0.187466504,0.09252645,0.157152984
3/17/2023,0.390064982,0.179530664,0.307147795,0.709575484,1.007954366,0.117643768,0.072990044,0.197452076,0.091854285,0.16993862
3/20/2023,0.379844059,0.184894575,0.303333357,0.709575484,1.04033987,0.117516752,0.073509827,0.198834658,0.092128029,0.169688481
3/21/2023,0.381124757,0.193348461,0.313011131,0.709152288,1.080287584,0.120812139,0.072040914,0.191633868,0.083702774,0.192593123
3/22/2023,0.364100135,0.193619025,0.311133273,0.709152288,1.082270483,0.12230381,0.072083834,0.202855879,0.083590146,0.192669934
3/23/2023,0.384046086,0.193451408,0.299221497,0.709152288,1.124838194,0.125251991,0.075207518,0.198917987,0.082044754,0.19644584
3/24/2023,0.424396494,0.19576307,0.290534002,0.709152288,1.133743319,0.124329041,0.074147553,0.207497106,0.101537214,0.193889456
3/27/2023,0.40509532,0.195604875,0.329195082,0.552044667,1.119090493,0.125849772,0.075466865,0.207455881,0.101167976,0.205223501
3/28/2023,0.417432198,0.195593973,0.321162206,0.54866193,1.118399956,0.127187461,0.075312479,0.208153427,0.101673768,0.204748555
3/29/2023,0.411340228,0.20107268,0.319547845,0.54866193,1.11767247,0.125122394,0.073866198,0.213053205,0.100676496,0.204484028
3/30/2023,0.393322738,0.203889261,0.315114699,0.549094429,1.120674619,0.126211794,0.073772232,0.205166922,0.100846509,0.204452569
3/31/2023,0.392795343,0.202441722,0.322906534,0.411018216,1.164191872,0.126467591,0.074201502,0.210949556,0.107083108,0.204453236
4/3/2023,0.418730137,0.20243935,0.398640689,0.411018216,1.160060248,0.126838574,0.075068746,0.210335126,0.104489188,0.201469427
4/4/2023,0.407224639,0.20070918,0.390876912,0.260593594,1.21643763,0.127289784,0.075070074,0.21347667,0.105797,0.19954308
4/5/2023,0.403918983,0.200718351,0.390819875,0.256053817,1.224624901,0.127693776,0.075707002,0.213190213,0.106039833,0.199176017
4/6/2023,0.403280707,0.201539717,0.386205751,0.25523438,1.227965762,0.127386158,0.075769941,0.19810214,0.101916156,0.203123093
4/7/2023,0.39959628,0.195153064,0.385845793,0.25523438,0.950067047,0.122312269,0.072829788,0.177314218,0.100574003,0.202995768
4/10/2023,0.388107028,0.171901053,0.368128303,0.109066158,0.930608851,0.114703753,0.070274308,0.175018073,0.101714568,0.182114997
4/11/2023,0.348800832,0.165407873,0.333452719,0.109066158,0.850803947,0.111805464,0.06281878,0.168452525,0.101886188,0.181804056
4/12/2023,0.322917472,0.119839341,0.303336559,0.30666569,0.846788094,0.086046107,0.051828061,0.173272779,0.096894887,0.165087937
4/13/2023,0.314498128,0.115177514,0.316366867,0.30666569,0.840799642,0.084271978,0.046922776,0.167961046,0.096858372,0.163862045
4/14/2023,0.316765491,0.101857576,0.288818556,0.30666569,0.836320583,0.078104655,0.044661303,0.153293239,0.098196879,0.156294976
4/17/2023,0.319596423,0.099654759,0.296586483,0.30666569,0.781967645,0.078167797,0.043797752,0.155471576,0.104356818,0.156320837
4/18/2023,0.321868369,0.091893532,0.297027313,0.30666569,0.746926484,0.071948655,0.044260437,0.154665393,0.09090374,0.130198969
4/19/2023,0.324561116,0.09267428,0.306776762,0.30666569,0.749833255,0.071207462,0.044925796,0.135039104,0.094289728,0.131063106
4/20/2023,0.320411971,0.092315402,0.313422569,0.30666569,0.693862601,0.063748563,0.039455163,0.136505925,0.096414094,0.119581889
4/21/2023,0.269216534,0.070238834,0.312921885,0.314346251,0.674650739,0.05998047,0.039226836,0.126462738,0.090723906,0.129554264
4/24/2023,0.274979455,0.065554165,0.284320995,0.314346251,0.664991083,0.058358851,0.036677289,0.127609488,0.092937913,0.11518544
4/25/2023,0.269008165,0.068863655,0.292845252,0.314346251,0.664450096,0.061536203,0.037740696,0.130903444,0.092403611,0.114443428
4/26/2023,0.269638099,0.067319412,0.331037304,0.314346251,0.673756223,0.061555174,0.037899775,0.124129038,0.095684143,0.120253379
4/27/2023,0.268512324,0.058704789,0.332413087,0.314346251,0.671093535,0.062488124,0.039346679,0.148706731,0.094910335,0.121336679
4/28/2023,0.271774616,0.057568883,0.336657875,0.297376383,0.551948945,0.068848343,0.042665505,0.13610691,0.088248659,0.121502515
5/1/2023,0.220392388,0.057413951,0.245914785,0.297376383,0.459652869,0.066981709,0.040413666,0.137294212,0.089360185,0.121717769
