Date,Carbon,EuroStoxx,BrenOIL,CoalAPI,NatGas,EurSover,EurCorp,SpxIndex,ComExEng,Metals
1/2/2013,-0.014992504,0.020201659,0.013459363,0.079428888,0.001958421,-0.000154811,-0.002382185,0.027583571,0.010751828,0.013938406
1/3/2013,-0.02587519,0.005257071,0.001334693,-0.001926287,0.014283566,-0.001981053,-0.000447433,0.002328956,-0.003380735,-0.004214327
1/4/2013,-0.009375,0.003486386,-0.002983294,0.000772002,0.005410614,-0.002353775,-0.001495241,0.00963955,-0.008689994,-0.012907276
1/7/2013,0.050473186,-0.004169128,-0.003342609,-0.006428388,0.01356432,4.66001E-05,0.001706479,-0.007610156,-0.001836652,-0.004703341
1/8/2013,-0.028528529,-0.001325751,0.00789739,0.000388199,-0.007709652,0.001851353,0.001628982,-0.000344384,0.003560749,0.013288555
1/9/2013,-0.040185471,0.006882096,-0.001607808,0.00206959,0.008759071,0.000516856,0.000869669,0.002732587,-0.001146877,-0.004662252
1/10/2013,-0.025764895,-0.002706266,-0.012681437,-0.014328127,-0.018964578,0.00043406,-0.002185291,-0.006916224,-0.007342638,0.001023395
1/11/2013,-0.021487603,-0.001252435,-0.019069716,-0.005500262,-0.004406918,-8.35373E-06,-0.001008478,-0.007532228,-0.009634567,-0.019302191
1/14/2013,-0.003378378,-0.003727184,0.009350738,-0.009086121,-0.009001637,-0.000319533,0.001031941,-0.001080208,0.006477403,0.009734233
1/15/2013,0.028813559,-0.000139855,-0.010308981,-0.002392027,-0.008595451,0.001006955,0.000344147,0.003155763,0.005690034,0.012050228
1/16/2013,-0.069192751,0.000209812,0.004175834,0.00133209,0.016014841,-0.000204006,-0.000178791,0.004036918,0.004197143,0.003602514
1/17/2013,-0.007079646,0.004614901,0.006607612,-0.001596382,-0.00022358,-0.00216781,-0.002152129,-0.000377043,-0.003940137,-0.000435621
1/18/2013,-0.08912656,-0.001113624,0.010039239,-0.007195203,-0.01308237,0.002990483,0.001315066,0.006642213,0.005108786,0.00262497
1/21/2013,-0.031311155,0.002612967,-0.002165339,-0.004294726,-0.01797651,-0.002235393,-0.001054532,0,0,0
1/22/2013,0.101010101,-0.000416985,0.006692242,0.004852406,0.008306734,0.000797493,0.000482118,0.005560364,0.003800597,0.005889665
1/23/2013,-0.146788991,0.001946743,0.00286174,-0.006036217,-0.001029788,0.00110077,0.000620239,0.001432212,-0.00134078,-0.000647957
1/24/2013,-0.068817204,0.002324613,-0.000909933,-0.000944669,-0.01416463,-0.000752687,-0.001843909,-0.004928658,-0.008167805,-0.018155889
1/25/2013,-0.050808314,0.002873066,-0.006378525,0.004187492,0.003059525,-0.001560797,-0.002962814,-0.000459246,-0.01016675,-0.016029326
1/28/2013,0.01703163,-0.001242579,0.000331656,0.006994888,0.002779923,-0.002579602,-0.002111275,-0.002294688,0.003614764,-0.005807992
1/29/2013,-0.045454545,0.003248549,0.005868299,-0.004541811,-0.010395811,0.001490226,-0.00046602,0.003465674,0.001556886,0.005282393
1/30/2013,-0.047619048,-0.00575267,-0.002229167,-0.004025765,-0.002295541,-0.00244896,-0.0023622,-0.010797616,0.008051749,0.00985282
1/31/2013,-0.1,-0.004885147,0.004584184,-0.011048235,-0.002807784,0.001588203,0.000552169,-0.003297594,-0.006752167,-0.016219233
2/1/2013,0.269005848,0.003412019,0.004006657,-0.001498638,0.009737593,7.38624E-05,0.000701415,0.003624857,-0.00197664,0.002599117
2/4/2013,-0.004608295,-0.014920194,-0.000589668,0.003001774,0.006158017,-0.002116709,0.001080854,-0.001606609,0.008609209,0.010499559
2/5/2013,0.023148148,0.005847129,0.003790035,-0.000544144,-0.0036568,-0.000598408,-0.001237382,0.006771699,-0.005358755,-0.003505666
2/6/2013,-0.054298643,-0.003641967,0.007079016,0.00217776,-0.0112811,-0.001249005,0.00136628,0.00573186,-0.000413117,0.0075117
2/7/2013,0.004784689,-0.002249403,0.012455842,0.00937118,0.00812754,0.001331554,0.001531026,0.006611566,0.002747262,0.001069555
2/8/2013,0.083333333,0.012188249,0.016508555,0.015608181,0.008372093,0.000803542,0.0001186,0.009121805,0.00156741,0.001845226
